agency,committee_url,name,status,url_from,url_to
Administrative Conference of the United States,https://www.acus.gov,Assembly of the Administrative Conference of the United States,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzjLAAQ
Commission on Civil Rights,mailto:idavis@usccr.gov,Pennsylvania Advisory Committee,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzjZAAQ
Commission on Civil Rights,mailto:jhinton@usccr.gov,South Carolina Advisory Committee,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzmPAAQ
Commission on Civil Rights,mailto:afortes@usccr.gov,Oregon Advisory Committee,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzlwAAA
Commission on Civil Rights,mailto:bdelaviez@usccr.gov,Rhode Island Advisory Committee,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzm4AAA
Commission on Civil Rights,mailto:afortes@usccr.gov,Texas Advisory Committee,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzkoAAA
Commission on Civil Rights,mailto:jhinton@usccr.gov,Tennessee Advisory Committee,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzm9AAA
Commission on Civil Rights,mailto:bdelaviez@usccr.gov,South Dakota Advisory Committee,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzm5AAA
Commission on Civil Rights,mailto:mwojnaroski@usccr.gov,Oklahoma Advisory Committee,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzn7AAA
Commission on Civil Rights,mailto:mwojnaroski@usccr.gov,Ohio Advisory Committee,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzkGAAQ
Commission on Civil Rights,mailto:idavis@usccr.gov,New Jersey Advisory Committee,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzjVAAQ
Commission on Civil Rights,mailto:dmussatt@usccr.gov,New Mexico Advisory Committee,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzlGAAQ
Commission on Civil Rights,mailto:jhinton@usccr.gov,North Carolina Advisory Committee,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzldAAA
Commission on Civil Rights,mailto:dbarreras@usccr.gov,New York Advisory Committee,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzmAAAQ
Commission on Civil Rights,mailto:bdelaviez@usccr.gov,North Dakota Advisory Committee,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzl9AAA
Commission on Civil Rights,mailto:bdelaviez@usccr.gov,New Hampshire Advisory Committee,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzlXAAQ
